StartDate,FLOC,ShortText,Cost
,1234.01.01,1000 hr mechanical and lube service,200
,1234.01.02,2 lights out on machine,300
22/02/2006,1234.01.03,3 x 240 volt lights out,400
18/02/2006,1234.01.04,ITEM_ID compressor oil requires top up,500
,1234.01.05,ITEM_ID inspection 29/12,600
31/03/2006,1234.01.06,ITEM_ID mechancial service 4 wk/500 hr,700
10/03/2006,1234.01.07,ITEM_ID not tramming,800
,1234.01.08,ITEM_ID pre service setup,900
14/03/2006,1234.01.09,ITEM_ID pre-service setup,1000
13/04/2006,1234.01.10,ITEM_ID pre-service setup,1100
15/08/2001,1234.01.11,access audit repairs,1200
,1234.01.12,adjust rotary head guides,1300
,1234.01.13,air /con very noisy,1400
9/03/2006,1234.01.14,air cond compressor,1500
17/08/2001,1234.01.15,air cond. working intermittently,1600
,1234.01.16,air leak around rotary head,1700
,1234.01.17,air valve not shutting off,1800
27/02/2006,1234.01.18,alternator r/s,1900
12/08/2001,1234.01.19,audible alarm on softly at all times,2000
,1234.01.20,auto level device reading backwards,2100
,1234.02.01,autosparks NA 08/03/06,2200
14/03/2006,1234.02.02,bad vibration,2300
16/08/2001,1234.02.03,bent hand rail at back cabin door,2400
11/08/2001,1234.02.04,blow hose,2500
13/08/2001,1234.02.05,book out filters,2600
,1234.02.06,both rear jacks leaking oil,2700
3/03/2006,1234.02.07,break out u/s,2800
,1234.02.08,breakout fork cylinder - rework,2900
17/08/2001,1234.02.09,broken control connection,3000
16/02/2006,1234.02.10,broken go switch r/h mast lock   .the in,3100
,1234.02.11,broken handraill/h/s crows nest,3200
,1234.02.12,broken hose on cylinder,3300
,1234.02.13,broken l/h pulldown chain,3400
,1234.02.14,broken locking pin,3500
17/08/2001,1234.02.15,broken tool wrench holding cylinder,3600
,1234.02.16,build up rod support beak,3700
,1234.02.17,bull hose air leak,3800
25/02/2006,1234.02.18,bull hose split,3900
,1234.02.19,busted hydraulic hose,4000
,1234.02.20,c spanner for minning,4100
7/08/2001,1234.02.21,c/b6 tripping e/l,4200
,1234.02.22,cab interior light not working,4300
,1234.02.23,capital     test cab,4400
,1234.02.24,capital    fit hyd. drive to a/c compres,4500
,1234.02.25,capital    move cab door as per drawings,4600
,1234.02.26,capital   engine protection hood,4700
,1234.02.27,capital   fit larger sumpmachine shut do,4800
,1234.02.28,capital   fit walk way to rhs of mast,4900
,1234.02.29,capital   install mesh in mast,5000
,1234.02.30,capital   turbo & ex manifold guards,5100
,1234.02.31,capital  install access sys,5200
,1234.02.32,capital  modify  w/ways around eng,5300
,1234.02.33,capital- chubb o/haul fire sys,5400
,1234.02.34,carousel not actioning to postion steels,5500
,1234.02.35,case-drain leaking,5600
,1234.02.36,cci,5700
,1234.02.37,chaine oiler no working,5800
,1234.02.38,change cyclinder,5900
,1234.02.39,change out cyl,6000
,1234.02.40,change out deck seal,6100
20/08/2001,1234.01.01,change out lube pump,6200
,1234.01.02,changeout compressor drive shaft,6300
,1234.01.03,check and repair exhaust leaks,6400
3/05/2006,1234.01.04,check drill water level sensor,6500
25/02/2006,1234.01.05,check feed system control,6600
14/02/2006,1234.01.06,check fire alarm,6700
,1234.01.07,check hyd. return filters for debris,6800
,1234.01.08,check oil leak at rotary head,6900
25/03/2006,1234.01.09,clean out chain lube canister,7000
12/08/2001,1234.01.10,comp high air tenp,7100
